Company,Type,City,State / Province,Country
Angry Skull Studios, Developer,Tucson,Arizona,United States
Desert Owl Games, Online,Tucson,Arizona,United States
Riverman Media, Developer,Tucson,Arizona,United States
Running With Scissors, Developer,Tucson,Arizona,United States
Wisdom Tree Games, Developer and Publisher,Tucson,Arizona,United States
Basilisk Games, Developer,Indianapolis,Indiana,United States
Crosscut Games, Developer,Indianapolis,Indiana,United States
Dreamspike Studios, Developer,Fort Wayne,Indiana,United States
Freehold Games, Developer,North Liberty,Indiana,United States
igda Indianapolis Charter, Organization,Indiapolis,Indiana,United States
Mommy's Best Games, Developer,Charlestown,Indiana,United States
Plow Games, Developer,Indianapolis,Indiana,United States
Plow Games, Mobile,Indiapolis,Indiana,United States
Re-Logic, Developer,Sellersburg,Indiana,United States
Studio Cypher, Mobile,Bloomington,Indiana,United States
Tethys Interactive, Mobile,Fishers,Indiana,United States
Geeta Games, Developer,Portage,Michigan,United States
Plarium, Developer,Kalamazoo,Michigan,United States
RespondWell, Developer,Grand Rapids,Michigan,United States
Rightstick Studios, Developer,Grand Rapids,Michigan,United States
S2 Games, Developer,Kalamazoo,Michigan,United States
Underbite Games, Developer,Grand Rapids,Michigan,United States
Bawden Studio, Mobile,Columbus,Ohio,United States
Flipline Studios, Mobile,Cleveland,Ohio,United States
Fresh Games, Developer,Columbus,Ohio,United States
Handelabra Games, Developer,Cleveland,Ohio,United States
Lantern Light Studios, Mobile,Athens,Ohio,United States
Lasso Games, Developer,Huntington,West Virginia,United States
Max Gaming Studios, Developer,Columbus,Ohio,United States
Multivarious Games, Mobile,Columbus,Ohio,United States
Nectar Game Studios, Developer,Cincinnati,Ohio,United States
Polytundra, Mobile,Cleveland,Ohio,United States
Socent Studios, Developer,Cleveland,Ohio,United States
Studio Zevere, Developer,Cleveland,Ohio,United States
Super Lame Games, Mobile,Columbus,Ohio,United States
Super77, Developer,Columbus,Ohio,United States
Surgical Theater, Virtual Reality,Mayfield Village,Ohio,United States
Truant Pixel, Developer,Dayton,Ohio,United States
WhatIf Sports, Online,Cincinnati,Ohio,United States
Wraith Games, Developer,Hamilton,Ohio,United States
Youngstown Game Developers, Organization,Youngstown,Ohio,United States
Altfuture, Virtual Reality,Belgrade,Belgrade,Serbia
DEVANA Technologies, Developer,Belgrade,Belgrade,Serbia
Digital Arrow, Developer,Temerin,Vojvodina,Serbia
Ebb Software, Developer,Belgrade,Belgrade,Serbia
Eipix, Developer,Novi Sad,Vojvodina,Serbia
Eipix Entertainment, Developer,Novi Sad,Vojvodina,Serbia
Flat Hill Games, Virtual Reality,Vrsac,Vojvodina,Serbia
LevelBit, Developer,Belgrade,Belgrade,Serbia
Mad Head Games, Developer,Novi Sad,Vojvodina,Serbia
Moonburnt Studio, Developer,Belgrade,Belgrade,Serbia
Nordeus, Online,Belgrade,Belgrade,Serbia
Peaksel, Mobile,Nis,Nisava,Serbia
Sozap, Mobile,Nis,Nisava,Serbia
Superverse Industries, Developer,Belgrade,Belgrade,Serbia
TabTale, Mobile,Belgrade,Belgrade,Serbia
Triton Studios (Big Fish Games), Mobile,Belgrade,Belgrade,Serbia
Ubisoft Belgrade, Developer and Publisher,Belgrade,Belgrade,Serbia
Abyss Gameworks, Developer,Istanbul,Istanbul,Turkey
Aral Ithalat, Publisher,Istanbul,Istanbul,Turkey
ArcadeMonk, Developer,Istanbul,Istanbul,Turkey
Consala Games, Online,Kadikoy,Istanbul,Turkey
Crytek, Developer,Istanbul,Istanbul,Turkey
Cultic Games, Developer,Istanbul,Istanbul,Turkey
Digitoy Games, Online,Izmir,Izmir,Turkey
Dream Games, Mobile,Istanbul,Istanbul,Turkey
Dream Harvesters, Developer,Antalya,Antalya,Turkey
Elite Game Studio, Mobile,Istanbul,Istanbul,Turkey
Gamegos, Developer,Istanbul,Istanbul,Turkey
Gamester, Online,Istanbul,Istanbul,Turkey
Global Game Center, Publisher,Istanbul,Istanbul,Turkey
Gram Games, Mobile,Istanbul,Istanbul,Turkey
Happy Game Company, Mobile,Izmir,Izmir,Turkey
Infosfer, Developer,Istanbul,Istanbul,Turkey
Lokum Games, Publisher,Istanbul,Istanbul,Turkey
Madbyte, Developer,Istanbul,Istanbul,Turkey
MagiClick Games, Online,Istanbul,Istanbul,Turkey
Momentum Digital Media Technologies, Developer,Kocaeli,Gebze,Turkey
Oldmoustache Gameworks, Developer,Istanbul,Istanbul,Turkey
OyunStüdyosu, Online,Istanbul,Istanbul,Turkey
Peak Games, Online,Istanbul,Istanbul,Turkey
Pera Games, Developer,Istanbul,Istanbul,Turkey
Riot Games, Online,Istanbul,Istanbul,Turkey
Rocwise Entertainment, Developer and Publisher,Istanbul,Istanbul,Turkey
Sobee, Developer,Istanbul,Istanbul,Turkey
tikle, Mobile,Istanbul,Istanbul,Turkey
Tricksy Games, Mobile,Istanbul,Istanbul,Turkey
Vertigo Games, Mobile,Istanbul,Istanbul,Turkey
Zoetrope Interactive, Developer,Istanbul,Istanbul,Turkey
Aesir Interactive, Developer,Munich,Bayern,Germany
Bit Barons, Developer,Munich,Bayern,Germany
Bonus Level Entertainment, Publisher,Munich,Bayern,Germany
Bulkhead Darkhorse, Developer,Munich,Bayern,Germany
Bulkhead Interactive, Developer,Munich,Bayern,Germany
Chimera Entertainment, Developer,Munich,Bayern,Germany
Connect2Media, Mobile,Munich,Bayern,Germany
Deep Silver Germany (Koch Media), Publisher,Planegg,Bayern,Germany
Delightex, Virtual Reality,Munich,Bayern,Germany
Digitalmindsoft, Developer,Ulm,Baden Wurttemberg,Germany
FDG Entertainment, Developer and Publisher,Munich,Bayern,Germany
Grimlore Games (THQ Nordic), Developer,Munich,Bayern,Germany
Icebird Studios, Developer,Munich,Bayern,Germany
igda Munich Chapter, Organization,Munich,Bayern,Germany
Innoactive, Serious Games,Munich,Bayern,Germany
Irrgheist, Developer,Tübingen,Baden-Württemberg,Germany
Klonk Games, Developer,Munich,Bayern,Germany
Koch Media, Publisher,Munich,Bayern,Germany
MegaZebra, Developer,Munich,Bayern,Germany
Mimimi Productions, Developer,Munich,Bayern,Germany
mixtvision Digital, Developer,Munich,Bayern,Germany
